Date,Weight,fatpct,watpct,musclepct,botgewicht,musclemass,muscgain,fatmass,fatgain,watmass,watgain,calories,remarks,,,
TOTAL (KG):,2.6,,,,,,1.01365,,1.36945,,1.52825,,,,,
3/3/2017,80.5,15.6,62.4,40.1,3.7,32.2805,0,12.558,0,50.232,0,4000,,total bulk gains,4.4808,kg
17/11/2017,74.4,13.6,63.6,40.7,3.6,30.2808,0,10.1184,0,47.3184,0,4500,bier,muscle;,1.1576,
18/11/2017,73.9,13.5,63.7,40.7,3.6,30.0773,-0.2035,9.9765,-0.1419,47.0743,-0.2441,3500,,fat;,1.5632,
20/11/2017,74.4,13.6,63.6,40.7,3.6,30.2808,0.10175,10.1184,0.07095,47.3184,0.12205,3800,,water;,1.76,
21/11/2017,75,13.8,63.4,40.6,3.6,30.45,0.1692,10.35,0.2316,47.55,0.2316,2800,,,,
22/11/2017,74.9,13.8,63.4,40.6,3.6,30.4094,-0.0406,10.3362,-0.0138,47.4866,-0.0634,,,,,
23/11/2017,74.6,13.7,63.5,40.6,3.6,30.2876,-0.1218,10.2202,-0.116,47.371,-0.1156,,bier,,,
24/11/2017,75.7,14,63.3,40.6,3.6,30.7342,0.4466,10.598,0.3778,47.9181,0.5471,,,,,
25/11/2017,75.3,14,63.3,40.5,3.6,30.4965,-0.2377,10.542,-0.056,47.6649,-0.2532,3200,,,,
26/11/2017,75.9,14.2,63.1,40.5,3.6,30.7395,0.243,10.7778,0.2358,47.8929,0.228,,,,,
27/11/2017,76.3,14.3,63,40.4,3.6,30.8252,0.0857,10.9109,0.1331,48.069,0.1761,,,,,
28/11/2017,76.3,14.2,63.1,40.4,3.6,30.8252,0,10.8346,-0.0763,48.1453,0.0763,,,,,
29/11/2017,77,14.5,62.9,40.3,3.6,31.031,0.2058,11.165,0.3304,48.433,0.2877,,,,,
30/11/2017,76.1,14.1,63.2,40.5,3.6,30.8205,-0.2105,10.7301,-0.4349,48.0952,-0.3378,,,,,
01/12/2017,75.9,14.2,63.1,40.5,3.6,30.7395,-0.081,10.7778,0.0477,47.8929,-0.2023,,,,,
02/12/2017,75.6,14.1,63.2,40.5,3.6,30.618,-0.1215,10.6596,-0.1182,47.7792,-0.1137,,,,,
03/12/2017,76.1,14.2,63.1,40.5,3.6,30.8205,0.2025,10.8062,0.1466,48.0191,0.2399,,,,,
04/12/2017,76.4,14.3,63,40.4,3.6,30.8656,0.0451,10.9252,0.119,48.132,0.1129,,,,,
05/12/2017,76.4,14.3,63,40.4,3.6,30.8656,0,10.9252,0,48.132,0,f,,,,
06/12/2017,76.8,14.3,63,40.4,3.6,31.0272,0.1616,10.9824,0.0572,48.384,0.252,,,,,
07/12/2017,77.8,14.6,62.8,40.2,3.7,31.2756,0.2484,11.3588,0.3764,48.8584,0.4744,,,,,
08/12/2017,77.8,14.7,62.7,40.2,3.7,31.2756,0,11.4366,0.0778,48.7806,-0.0778,,,,,
09/12/2017,78,14.8,62.7,40.1,3.7,31.278,0.0024,11.544,0.1074,48.906,0.1254,,,,,
10/12/2017,77.4,14.5,62.9,40.3,3.6,31.1922,-0.0858,11.223,-0.321,48.6846,-0.2214,,,,,
11/12/2017,77.4,14.5,62.9,40.3,3.6,31.1922,0,11.223,0,48.6846,0,,,,,
12/12/2017,76.7,14.3,63,40.4,3.6,30.9868,-0.2054,10.9681,-0.2549,48.321,-0.3636,,,,,
13/12/2017,76.7,14.4,63,40.4,3.6,30.9868,0,11.0448,0.0767,48.321,0,,,,,
14/12/2017,78.1,14.8,62.7,40.2,3.7,31.3962,0.4094,11.5588,0.514,48.9687,0.6477,,,,,
17/12/2017,77.6,14.7,62.7,40.2,3.6,31.1952,-0.067,11.4072,-0.05053333333,48.6552,-0.1045,,,,,
18/12/2017,78.4,14.9,62.6,40.1,3.7,31.4384,0.2432,11.6816,0.2744,49.0784,0.4232,,,,,
19/12/2017,78.5,14.9,62.6,40.1,3.7,31.4785,0.0401,11.6965,0.0149,49.141,0.0626,,,,,
20/12/2017,78.8,15,62.5,40.1,3.7,31.5988,0.1203,11.82,0.1235,49.25,0.109,,,,,
21/12/2017,79,15.1,62.4,40,3.7,31.6,0.0012,11.929,0.109,49.296,0.046,,,,,
22/12/2017,79.4,15.2,62.4,40,3.7,31.76,0.16,12.0688,0.1398,49.5456,0.2496,,,,,
23/12/2017,79.1,15.1,62.4,40,3.7,31.64,-0.12,11.9441,-0.1247,49.3584,-0.1872,,,,,
26/12/2017,78.5,14.9,62.6,40.1,3.7,31.4785,-0.05383333333,11.6965,-0.08253333333,49.141,-0.07246666667,,,,,
28/12/2017,79.5,15.2,62.4,40,3.7,31.8,0.16075,12.084,0.19375,49.608,0.2335,,,,,
29/12/2017,78.9,15.1,62.4,40,3.7,31.56,-0.24,11.9139,-0.1701,49.2336,-0.3744,,,,,
03/01/2018,78.9,15.1,62.4,40,3.7,31.56,0,11.9139,0,49.2336,0,,,,,
04/01/2018,79.9,15.3,62.3,39.9,3.7,31.8801,0.3201,12.2247,0.3108,49.7777,0.5441,,,,,
06/01/2018,79,15.1,62.4,40,3.7,31.6,-0.14005,11.929,-0.14785,49.296,-0.24085,,,,,
07/01/2018,79.3,15.2,62.4,40,3.7,31.72,0.12,12.0536,0.1246,49.4832,0.1872,,,,,
08/01/2018,80,15.4,62.2,39.9,3.7,31.92,0.2,12.32,0.2664,49.76,0.2768,,,,,
09/01/2018,79.5,15.2,62.4,40,3.7,31.8,-0.12,12.084,-0.236,49.608,-0.152,,,,,
10/01/2018,79.7,15.2,62.3,40,3.7,31.88,0.08,12.1144,0.0304,49.6531,0.0451,,,,,
11/01/2018,79.3,15.2,62.4,40,3.7,31.72,-0.16,12.0536,-0.0608,49.4832,-0.1699,,,,,
12/01/2018,79.8,15.3,62.3,39.9,3.7,31.8402,0.1202,12.2094,0.1558,49.7154,0.2322,,,,,
13/01/2018,79.2,15.1,62.4,40,3.7,31.68,-0.1602,11.9592,-0.2502,49.4208,-0.2946,,,,,
14/01/2018,80.3,15.5,62.2,39.9,3.7,32.0397,0.3597,12.4465,0.4873,49.9466,0.5258,,,,,
15/01/2018,80.5,15.5,62.2,39.9,3.7,32.1195,0.0798,12.4775,0.031,50.071,0.1244,,,,,
16/01/2018,80.7,15.6,62.1,39.9,3.7,32.1993,0.0798,12.5892,0.1117,50.1147,0.0437,,,,,
17/01/2018,79.7,15.3,62.3,40,3.7,31.88,-0.3193,12.1941,-0.3951,49.6531,-0.4616,,,,,
18/01/2018,80.6,15.6,62.1,39.8,3.7,32.0788,0.1988,12.5736,0.3795,50.0526,0.3995,,,,,
19/01/2018,80.2,15.4,62.2,39.9,3.7,31.9998,-0.079,12.3508,-0.2228,49.8844,-0.1682,,,,,
21/01/2018,80.8,15.6,62.1,39.8,3.7,32.1584,0.0793,12.6048,0.127,50.1768,0.1462,,,,,
22/01/2018,81.5,15.8,61.8,39.8,3.7,32.437,0.2786,12.877,0.2722,50.367,0.1902,,,,,
23/01/2018,80.9,15.6,62.1,39.8,3.7,32.1982,-0.2388,12.6204,-0.2566,50.2389,-0.1281,,,,,
24/01/2018,80.9,15.6,62.1,39.8,3.7,32.1982,0,12.6204,0,50.2389,0,,,,,
25/01/2018,80.5,15.5,62.2,39.9,3.7,32.1195,-0.0787,12.4775,-0.1429,50.071,-0.1679,,,,,
26/01/2018,80.5,15.5,62.2,39.9,3.7,32.1195,0,12.4775,0,50.071,0,,,,,
27/01/2018,80.8,15.6,62.1,39.8,3.7,32.1584,0.0389,12.6048,0.1273,50.1768,0.1058,,,,,
28/01/2018,80.1,15.4,62.2,39.9,3.7,31.9599,-0.1985,12.3354,-0.2694,49.8222,-0.3546,,,,,
02/02/2018,81.2,15.7,62,39.8,3.7,32.3176,0.07154,12.7484,0.0826,50.344,0.10436,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,